Game Number,Current Step,Result Step,Cost,RTP,Game Crush Point,Redistributed Crush Point
24,2,17,0.00,Infinity,16,27
45,1,21,0.00,Infinity,4,28
59,0,15,0.00,Infinity,21,N/A
61,0,11,0.00,Infinity,4,76
77,3,18,0.00,Infinity,9,22
79,4,10,0.00,Infinity,22,N/A
81,0,0,0.00,0.00,4,N/A
88,5,16,0.00,Infinity,17,N/A
90,1,7,0.00,Infinity,9,N/A
91,3,18,0.00,Infinity,53,N/A
107,0,22,0.00,Infinity,5,99
113,3,35,0.00,Infinity,12,47
126,3,3,0.00,0.00,6,N/A
158,2,23,0.00,Infinity,6,38
169,0,17,0.00,Infinity,10,23
176,8,30,0.00,Infinity,12,33
181,6,19,0.00,Infinity,11,25
183,0,13,0.00,Infinity,27,N/A
187,3,3,0.00,0.00,42,N/A
194,0,13,0.00,Infinity,1,15
217,0,19,0.00,Infinity,9,20
218,4,19,0.00,Infinity,6,47
235,0,13,0.00,Infinity,16,N/A
259,1,13,0.00,Infinity,12,16
272,5,20,0.00,Infinity,8,26
284,3,18,0.00,Infinity,9,31
300,3,22,0.00,Infinity,10,23
302,0,22,0.00,Infinity,3,29
316,3,17,0.00,Infinity,11,28
336,0,0,0.00,0.00,4,N/A
339,1,29,0.00,Infinity,8,34
361,0,10,0.00,Infinity,21,N/A
375,0,21,0.00,Infinity,8,26
401,0,17,0.00,Infinity,12,35
419,0,0,0.00,0.00,10,N/A
424,1,21,0.00,Infinity,14,40
449,0,21,0.00,Infinity,2,35
462,0,24,0.00,Infinity,23,42
463,3,18,0.00,Infinity,29,N/A
465,3,18,0.00,Infinity,29,N/A
468,0,25,0.00,Infinity,5,28
478,3,3,0.00,0.00,10,N/A
480,1,15,0.00,Infinity,18,N/A
482,0,12,0.00,Infinity,1,17
483,0,20,0.00,Infinity,14,43
491,0,21,0.00,Infinity,6,40
496,0,0,0.00,0.00,7,N/A
509,3,3,0.00,0.00,47,N/A
513,0,15,0.00,Infinity,6,29
523,0,24,0.00,Infinity,3,32
541,2,11,0.00,Infinity,4,19
592,0,11,0.00,Infinity,46,N/A
593,4,4,0.00,0.00,6,N/A
596,6,19,0.00,Infinity,11,24
611,6,21,0.00,Infinity,35,N/A
624,1,21,0.00,Infinity,13,35
627,2,17,0.00,Infinity,4,21
631,7,24,0.00,Infinity,24,28
640,0,15,0.00,Infinity,8,27
646,3,3,0.00,0.00,9,N/A
651,0,17,0.00,Infinity,2,21
661,5,12,0.00,Infinity,27,N/A
663,0,15,0.00,Infinity,28,N/A
665,1,26,0.00,Infinity,26,40
670,0,9,0.00,Infinity,2,47
