Game Number,Current Step,Result Step,Cost,RTP,Game Crush Point,Redistributed Crush Point
1,0,7,3.85,99.81,3,12
1,8,11,17.93,46.25,12,N/A
3,4,12,8.31,120.97,5,25
3,13,21,46.91,120.97,25,N/A
6,1,9,4.67,120.97,2,23
6,10,19,26.35,146.62,23,N/A
7,0,3,3.85,46.25,4,N/A
8,3,11,6.86,120.97,4,12
11,1,9,4.67,120.97,6,12
11,10,21,26.35,215.40,12,26
13,0,8,3.85,120.97,6,9
14,0,7,3.85,99.81,1,18
14,17,25,101.24,120.97,18,30
15,3,6,6.86,46.25,5,9
17,0,11,3.85,215.40,5,14
18,1,7,4.67,82.35,5,9
21,0,5,3.85,67.94,1,15
23,0,6,3.85,82.35,9,N/A
24,10,18,26.35,120.97,23,N/A
25,0,5,3.85,67.94,3,9
25,8,13,17.93,67.94,9,18
25,17,28,101.24,215.40,18,29
26,0,7,3.85,99.81,1,21
26,8,14,17.93,82.35,21,N/A
26,16,25,83.53,146.62,21,29
27,0,4,3.85,56.05,6,N/A
28,2,10,5.66,120.97,3,14
28,11,18,31.93,99.81,14,23
28,19,22,148.73,46.25,23,N/A
29,0,12,3.85,261.08,4,17
29,15,25,68.92,177.72,17,28
30,3,16,6.86,316.44,6,23
31,0,6,3.85,82.35,1,27
31,8,17,17.93,146.62,27,N/A
31,18,24,122.71,82.35,27,N/A
32,2,10,5.66,120.97,6,12
32,11,14,31.93,46.25,12,17
32,16,24,83.53,120.97,17,26
34,0,4,3.85,56.05,4,5
35,3,11,6.86,120.97,5,12
36,3,12,6.86,146.62,8,13
38,0,9,3.85,146.62,1,16
38,12,22,38.70,177.72,16,23
41,0,9,3.85,146.62,5,11
42,0,8,3.85,120.97,4,9
43,0,5,3.85,67.94,3,7
44,2,7,5.66,67.94,16,N/A
44,8,16,17.93,120.97,16,18
47,1,10,4.67,146.62,9,20
47,11,21,31.93,177.72,20,23
48,0,6,3.85,82.35,1,9
48,8,14,17.93,82.35,9,19
48,15,21,68.92,82.35,19,23
49,0,6,3.85,82.35,1,9
49,7,14,14.80,99.81,9,19
49,15,23,68.92,120.97,19,24
50,12,20,38.70,120.97,19,24
52,0,4,3.85,56.05,1,8
54,0,6,3.85,82.35,2,11
54,9,12,21.74,46.25,11,21
54,18,25,122.71,99.81,21,38
57,0,8,3.85,120.97,9,N/A
58,1,8,4.67,99.81,7,9
59,0,6,3.85,82.35,5,7
60,0,6,3.85,82.35,20,N/A
60,7,14,14.80,99.81,20,N/A
60,15,23,68.92,120.97,20,35
61,0,8,3.85,120.97,5,9
63,0,7,3.85,99.81,5,8
66,0,8,3.85,120.97,10,N/A
69,0,8,3.85,120.97,2,9
70,0,6,3.85,82.35,7,N/A
71,0,9,3.85,146.62,4,12
73,1,9,4.67,120.97,9,10
74,0,6,3.85,82.35,1,7
76,1,7,4.67,82.35,9,N/A
77,0,7,3.85,99.81,5,8
78,0,7,3.85,99.81,2,8
80,10,15,26.35,67.94,14,19
81,1,11,4.67,177.72,13,N/A
82,0,5,3.85,67.94,2,9
82,7,10,14.80,46.25,9,15
82,12,22,38.70,177.72,15,25
83,0,3,3.85,46.25,1,8
83,5,8,10.07,46.25,8,10
86,0,3,3.85,46.25,2,4
87,0,11,3.85,215.40,3,18
88,0,7,3.85,99.81,8,N/A
92,3,11,6.86,120.97,5,12
93,0,10,3.85,177.72,21,N/A
93,13,26,46.91,316.44,21,29
94,0,6,3.85,82.35,2,10
95,3,6,6.86,46.25,4,7
96,3,11,6.86,120.97,4,41
96,14,24,56.86,177.72,41,N/A
97,3,6,6.86,46.25,5,15
97,12,18,38.70,82.35,15,19
99,0,8,3.85,120.97,2,12
99,11,15,31.93,56.05,12,16
103,0,6,3.85,82.35,4,9
105,0,3,3.85,46.25,2,4
106,0,9,3.85,146.62,12,N/A
107,0,9,3.85,146.62,7,14
108,0,3,3.85,46.25,2,20
108,6,12,12.21,82.35,20,N/A
108,18,26,122.71,120.97,20,33
109,0,6,3.85,82.35,2,24
110,0,5,3.85,67.94,2,6
111,0,8,3.85,120.97,9,N/A
112,3,11,6.86,120.97,14,N/A
112,13,18,46.91,67.94,14,26
113,2,12,5.66,177.72,3,19
113,13,19,46.91,82.35,19,20
114,0,8,3.85,120.97,15,N/A
115,3,10,6.86,99.81,10,13
115,11,19,31.93,120.97,13,21
116,0,7,3.85,99.81,10,N/A
118,0,3,3.85,46.25,11,N/A
119,0,4,3.85,56.05,1,6
120,0,7,3.85,99.81,4,8
121,0,6,3.85,82.35,2,7
123,0,11,3.85,215.40,1,18
124,0,5,3.85,67.94,1,8
125,0,8,3.85,120.97,2,9
126,3,10,6.86,99.81,11,N/A
128,0,8,3.85,120.97,16,N/A
128,9,21,21.74,261.08,16,26
129,0,5,3.85,67.94,3,24
129,15,23,68.92,120.97,24,N/A
131,0,6,3.85,82.35,1,8
132,0,6,3.85,82.35,4,10
132,9,16,21.74,99.81,10,19
134,1,5,4.67,56.05,8,N/A
134,6,15,12.21,146.62,8,19
135,6,12,12.21,82.35,9,21
138,1,9,4.67,120.97,2,15
138,13,21,46.91,120.97,15,31
139,0,6,3.85,82.35,1,11
140,3,12,6.86,146.62,8,16
143,3,11,6.86,120.97,9,13
144,0,3,3.85,46.25,3,5
145,2,10,5.66,120.97,9,11
148,0,7,3.85,99.81,2,14
149,0,8,3.85,120.97,23,N/A
149,14,22,56.86,120.97,23,N/A
150,0,11,3.85,215.40,1,14
150,13,17,46.91,56.05,14,21
150,18,25,122.71,99.81,21,38
151,0,7,3.85,99.81,5,17
151,10,18,26.35,120.97,17,19
154,0,10,3.85,177.72,6,11
155,3,8,6.86,67.94,6,14
157,6,13,12.21,99.81,7,22
157,19,27,148.73,120.97,22,36
158,0,8,3.85,120.97,14,N/A
159,0,3,3.85,46.25,1,4
160,3,11,6.86,120.97,18,N/A
160,14,23,56.86,146.62,18,26
161,0,9,3.85,146.62,2,21
161,11,16,31.93,67.94,21,N/A
161,17,23,101.24,82.35,21,33
164,3,9,6.86,82.35,20,N/A
164,15,19,68.92,56.05,20,N/A
165,0,7,3.85,99.81,5,10
165,8,17,17.93,146.62,10,21
165,19,22,148.73,46.25,21,23
169,1,4,4.67,46.25,4,10
170,0,3,3.85,46.25,2,6
170,4,11,8.31,99.81,6,17
170,12,22,38.70,177.72,17,24
171,0,7,3.85,99.81,1,13
172,6,13,12.21,99.81,13,20
172,16,24,83.53,120.97,20,46
174,0,6,3.85,82.35,6,19
174,7,12,14.80,67.94,19,N/A
174,13,21,46.91,120.97,19,28
175,0,9,3.85,146.62,1,17
175,12,46,38.70,17957.82,17,50
176,0,9,3.85,146.62,1,10
177,0,13,3.85,316.44,5,20
