Step,Multiplier
0,1
1,1.2120535981940315
2,1.4690739248950986
3,1.7805963366821327
4,2.15817819680669
5,2.6158276489834553
6,3.170523314205831
7,3.842844191141243
8,4.657733129171776
9,5.645422198640197
10,6.84255428918631
11,8.293542547046272
12,10.052218085922725
13,12.18382710087376
14,14.767451477387995
15,17.898942699323886
16,21.694477902584303
17,26.294870002768214
18,31.870791800899514
19,38.62910787957309
20,46.82054920046198
21,56.74901512784062
22,68.78284797966676
23,83.36849838778815
24,101.04708844695195
25,122.47448713915865
26,148.44564282398588
27,179.9240755210381
28,218.07762313700889
29,264.32176780881355
30,320.3721497536798
31,388.30821687010473
32,470.6503714657187
33,570.4534762263819
34,691.4201884624795
35,838.0383272899437
36,1015.7473700162836
37,1231.140254684361
38,1492.207975571696
39,1808.6360460455055
40,2192.1638274328807
41,2657.020054870823
42,3220.450717979884
43,3903.3588805340705
44,4731.0801761939465
45,5734.322750900325
46,6950.306523434637
47,8424.1440302804
48,10210.51408360613
49,12375.690334445644
50,14999.999999999938
