Game Number,Final Step,Multiplier,Outcome,Winnings,Cost,Crash Point,Cashout Point,Used Bonus
1,11,8.29,Crashed during move,0.00,22.78,12,20,Mystic
2,0,1.00,Crashed during move,0.00,1.00,3,20,
3,20,46.82,Cashed out,46.82,56.22,25,20,Mystic
4,3,1.78,Crashed during move,0.00,1.00,5,20,
5,0,1.00,Crashed during move,0.00,1.00,1,20,
6,20,46.82,Cashed out,46.82,32.01,23,20,Mystic
7,3,1.78,Crashed during move,0.00,4.85,4,20,Mystic
8,11,8.29,Crashed during move,0.00,7.86,12,20,Mystic
9,0,1.00,Crashed during move,0.00,1.00,5,20,
10,0,1.00,Crashed during move,0.00,1.00,9,20,
11,20,46.82,Cashed out,46.82,32.01,26,20,Mystic
12,3,1.78,Crashed during move,0.00,1.00,4,20,
13,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
14,20,46.82,Cashed out,46.82,106.09,30,20,Mystic
15,6,3.17,Crashed during move,0.00,7.86,9,20,Mystic
16,0,1.00,Crashed during move,0.00,1.00,1,20,
17,11,8.29,Crashed during move,0.00,4.85,14,20,Mystic
18,8,4.66,Crashed during move,0.00,5.67,9,20,Mystic
19,0,1.00,Crashed during move,0.00,1.00,4,20,
20,1,1.21,Crashed during move,0.00,1.00,2,20,
21,5,2.62,Crashed during move,0.00,4.85,15,20,Mystic
22,12,10.05,Crashed during move,0.00,1.00,14,20,
23,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
24,20,46.82,Cashed out,46.82,27.35,23,20,Mystic
25,20,46.82,Cashed out,46.82,124.03,29,20,Mystic
26,20,46.82,Cashed out,46.82,106.31,29,20,Mystic
27,4,2.16,Crashed during move,0.00,4.85,6,20,Mystic
28,20,46.82,Cashed out,46.82,187.32,23,20,Mystic
29,20,46.82,Cashed out,46.82,73.77,28,20,Mystic
30,20,46.82,Cashed out,46.82,7.86,23,20,Mystic
31,20,46.82,Cashed out,46.82,145.49,27,20,Mystic
32,20,46.82,Cashed out,46.82,122.12,26,20,Mystic
33,0,1.00,Crashed during move,0.00,1.00,2,20,
34,4,2.16,Crashed during move,0.00,4.85,5,20,Mystic
35,11,8.29,Crashed during move,0.00,7.86,12,20,Mystic
36,12,10.05,Crashed during move,0.00,7.86,13,20,Mystic
37,0,1.00,Crashed during move,0.00,1.00,1,20,
38,20,46.82,Cashed out,46.82,43.55,23,20,Mystic
39,0,1.00,Crashed during move,0.00,1.00,1,20,
40,0,1.00,Crashed during move,0.00,1.00,10,20,
41,10,6.84,Crashed during move,0.00,4.85,11,20,Mystic
42,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
43,5,2.62,Crashed during move,0.00,4.85,7,20,Mystic
44,17,26.29,Crashed during move,0.00,24.59,18,20,Mystic
45,0,1.00,Crashed during move,0.00,1.00,1,20,
46,0,1.00,Crashed during move,0.00,1.00,5,20,
47,20,46.82,Cashed out,46.82,37.60,23,20,Mystic
48,20,46.82,Cashed out,46.82,91.70,23,20,Mystic
49,20,46.82,Cashed out,46.82,88.56,24,20,Mystic
50,20,46.82,Cashed out,46.82,39.70,24,20,
51,0,1.00,Crashed during move,0.00,1.00,3,20,
52,4,2.16,Crashed during move,0.00,4.85,8,20,Mystic
53,0,1.00,Crashed during move,0.00,1.00,7,20,
54,20,46.82,Cashed out,46.82,149.30,38,20,Mystic
55,3,1.78,Crashed during move,0.00,1.00,6,20,
56,0,1.00,Crashed during move,0.00,1.00,10,20,
57,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
58,8,4.66,Crashed during move,0.00,5.67,9,20,Mystic
59,6,3.17,Crashed during move,0.00,4.85,7,20,Mystic
60,20,46.82,Cashed out,46.82,88.56,35,20,Mystic
61,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
62,0,1.00,Crashed during move,0.00,1.00,5,20,
63,7,3.84,Crashed during move,0.00,4.85,8,20,Mystic
64,0,1.00,Crashed during move,0.00,1.00,1,20,
65,0,1.00,Crashed during move,0.00,1.00,1,20,
66,8,4.66,Crashed during move,0.00,4.85,10,20,Mystic
67,0,1.00,Crashed during move,0.00,1.00,2,20,
68,0,1.00,Crashed during move,0.00,1.00,1,20,
69,8,4.66,Crashed during move,0.00,4.85,9,20,Mystic
70,6,3.17,Crashed during move,0.00,4.85,7,20,Mystic
71,9,5.65,Crashed during move,0.00,4.85,12,20,Mystic
72,0,1.00,Crashed during move,0.00,1.00,1,20,
73,9,5.65,Crashed during move,0.00,5.67,10,20,Mystic
74,6,3.17,Crashed during move,0.00,4.85,7,20,Mystic
75,1,1.21,Crashed during move,0.00,1.00,2,20,
76,8,4.66,Crashed during move,0.00,5.67,9,20,Mystic
77,7,3.84,Crashed during move,0.00,4.85,8,20,Mystic
78,7,3.84,Crashed during move,0.00,4.85,8,20,Mystic
79,0,1.00,Crashed during move,0.00,1.00,4,20,
80,15,17.90,Crashed during move,0.00,27.35,19,20,Mystic
81,12,10.05,Crashed during move,0.00,5.67,13,20,Mystic
82,20,46.82,Cashed out,46.82,58.35,25,20,Mystic
83,9,5.65,Crashed during move,0.00,14.92,10,20,Mystic
84,0,1.00,Crashed during move,0.00,1.00,5,20,
85,0,1.00,Crashed during move,0.00,1.00,1,20,
86,3,1.78,Crashed during move,0.00,4.85,4,20,Mystic
87,11,8.29,Crashed during move,0.00,4.85,18,20,Mystic
88,7,3.84,Crashed during move,0.00,4.85,8,20,Mystic
